,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
France,Billion Kwh,69.453,71.558,70.3,68.815,65.51,61.648,62.353,70.023,75.252,47.744,54.999,58.674,70.75,66.598,80.551,74.963,67.384,66.451,64.793,75.611,70.682,78.884,65.381,64.375,65.426,57.488,63.406,67.161,75.1,71.17,79.464,66.015,84.544,97.854,93.185,90.94,0,0
French Guiana,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0.549,0.571,0.593,0.616,0.639,0.663,0.689,0.708,0.737,0.65,0.556,0.49,0.5,0.49,0,0
French Polynesia,Billion Kwh,0,0,0,0.016,0.024,0.032,0.035,0.035,0.058,0.064,0.069,0.074,0.09,0.094,0.096,0.125,0.133,0.133,0.151,0.087,0.116,0.105,0.131,0.154,0.178,0.177,0.198,0.22,0.209,0.208,0.274,0.224,0.208,0.194,0.218,0.226,0,0
Gabon,Billion Kwh,0.257,0.408,0.482,0.541,0.604,0.66,0.665,0.668,0.669,0.693,0.701,0.708,0.716,0.711,0.748,0.792,0.769,0.808,0.811,0.83,0.802,0.876,0.921,0.898,0.891,0.811,0.943,0.8,0.893,0.944,0.907,0.841,0.911,0.934,0.798,0.921,0,0
"Gambia, The",Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,6.439,6.536,6.704,5.151,5.94,5.987,6.308,6.378,5.801,5.487,6.699,6.461,5.989,6.174,5.262,6.75,7.09,7.338,9.273,7.811,7.151,8.188,8.252,8.369,0,0
Germany,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,20.681,23.731,24.572,28.39,30.977,31.808,28.50443,31.408,33.26,41.048,45.519,51.455,52.967,62.9652,64.5422,74.0734,92.8194,98.072,100.284,110.74,129.659,149.47,158.431,169.477,193.735,0,0
"Germany, East",Billion Kwh,1.658,1.718,1.748,1.683,1.748,1.758,1.767,1.726,1.719,1.551,1.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, West",Billion Kwh,22.325,22.589,22.394,20.713,20.734,19.654,20.726,22.16,22.428,21.082,20.553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,Billion Kwh,5.276,5.341,4.941,2.55,1.799,2.996,4.389,4.627,4.811,5.178,5.664,6.075,6.536,6.228,6.033,6.036,6.559,6.782,3.792,5.117,6.544,6.543,4.986,3.846,5.228,5.573,5.563,3.69,6.133,6.808,6.926,7.485,7.99,8.154,8.307,5.79,0,0
Gibraltar,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,Billion Kwh,3.396,3.398,3.551,2.331,2.852,2.792,3.222,2.768,2.354,1.888,1.753,3.07,2.326,2.399,2.686,3.632,4.458,3.99218,3.91,4.904,4.27,3.014,3.657,5.985,6.01,6.456,7.645,4.593,5.736,8.15,10.622,8.243,9.322,14.425,12.265,14.646,0,0
Greenland,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171,0.171,0.158,0.182,0.18,0.192,0.203,0.196,0.204,0.202,0.265,0.296,0.338,0.345,0.378,0.396,0.423,0,0
Grenada,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.03,0.0307,0.0307,0.0307,0.031,0.035,0.04,0.04,0.05,0.05,0.06,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.145,0.05,0.057,0.055,0.052,0,0
Guam,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,Billion Kwh,0.576,0.34,0.476,0.8,0.599,0.671,1.7,1.683,1.83,2.067,2.411,2.456,2.155,2.271,2.408,2.32501,2.29529,2.34957,2.22213,3.05806,3.28278,2.964,2.7515,4.277,4.169,4.318,4.606,4.711,4.794,4.414,5.64,5.874,6.25,6.616,7.31,6.643,0,0
Guinea,Billion Kwh,0.148,0.148,0.148,0.153,0.155,0.161,0.163,0.165,0.168,0.17,0.173,0.176,0.178,0.18,0.182,0.191,0.195,0.285,0.307,0.391,0.406,0.546,0.589,0.396,0.549,0.489,0.456,0.533,0.524,0.517,0.482,0.413,0.49,0.481,0.489,0.5,0,0
Guinea0Bissau,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,Billion Kwh,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,Billion Kwh,0.218,0.223,0.247,0.257,0.267,0.293,0.315,0.317,0.317,0.317,0.368,0.345,0.318,0.271,0.231,0.25,0.269,0.198,0.303,0.265,0.28,0.28,0.257,0.252,0.257,0.262,0.268,0.152,0.179,0.205,0.175,0.12,0.219,0.14,0.089,0.082,0,0
Hawaiian Trade Zone,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,Billion Kwh,0.772,0.821,0.846,0.831,0.865,0.866,1.272,1.131,1.739,1.825,2.066,2.098,2.17,2.241,1.8,1.656,2.019,2.064,1.904,2.11,2.238,1.894,1.61,1.76,1.461,1.86,2.191,2.337,2.465,2.937,3.209,3.555,3.788,3.748,3.499,3.767,0,0
Hong Kong,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.093,0.08,0.091,0.095,0.106,0.106,0,0
Hungary,Billion Kwh,0.111,0.166,0.158,0.153,0.179,0.153,0.152,0.167,0.167,0.156,0.21,0.24,0.247,0.241,0.249,0.264,0.296,0.30884,0.26545,0.299,0.296,0.311,0.264,0.367,0.96,1.94,1.623,2.027,2.469,3.01,3.157,2.821,2.732,2.859,3.227,3.321,0,0
Iceland,Billion Kwh,3.053,3.185,3.607,3.788,3.938,3.867,4.046,4.118,4.369,4.517,4.462,4.445,4.497,4.677,4.73,4.925,5.07,5.52993,6.22,7.123,7.615,7.963,8.34,8.423,8.548,8.611,9.853,11.891,16.341,16.709,16.744,16.849,17.293,17.995,17.802,18.554,0,0
India,Billion Kwh,46.54,49.56,48.31,49.87,53.405,50.508,53.309,46.993,57.291,61.511,70.971,72.086,69.275,69.872,82.1,72.4,69.169,74.957,83.306,82.387,76.755,77.033,72.276,85.464,96.009,115.376,129.826,140.416,138.956,141.831,147.866,172.328,165.453,193.377,195.804,195.242,0,0
Indonesia,Billion Kwh,2.234,2.907,2.708,3.141,3.397,4.217,5.799,5.231,6.689,7.913,7.791,8.156,10.093,9.129,9.303,10.354,11.117,8.278,13.128,12.877,14.791,17.578,16.083,15.317,16.252,17.244,16.217,18.23002,19.7694,20.6281,26.738,21.888,22.367,26.354,26.018,24.797,0,0
Iran,Billion Kwh,5.561,6.164,6.38,6.138,6.268,6.27,6.136,6.336,6.386,6.633,6.022,6.985,9.435,9.725,7.371,7.202,7.326,6.857,6.961,4.906,3.662,5.06,8.034,11.014,10.568,16.01,18.208,17.95,5.149,7.388,9.604,12.2332,12.553,14.837,14.13,14.184,0,0
Iraq,Billion Kwh,0.683,0.683,0.604,0.594,0.604,0.604,0.594,0.604,0.703,0.594,0.604,0.307,0.693,0.594,0.554,0.564,0.564,0.575,0.587,0.599,0.605,0.612,0.512,0.429,0.488,5.94,6.03504,5.67864,3.45015,3.19473,4.71834,3.363,4.348,4.709,2.902,2.546,0,0
Ireland,Billion Kwh,0.833,0.855,0.792,0.776,0.68,0.824,0.91,0.673,0.862,0.684,0.69,0.738,0.814,0.785,0.943,0.737,0.756,0.80222,1.161,1.116,1.177,1.021,1.373,1.132,1.388,1.867,2.468,2.787,3.578,4.1,3.722,5.415,5.299,5.687,6.452,7.923,0,0
Israel,Billion Kwh,0,0,0,0,0,0,0,0.01,0.01,0.003,0.003,0.006,0.029,0.03,0.03,0.025,0.024,0.025,0.025,0.033,0.031,0.02,0.032,0.043,0.039,0.039,0.025,0.024,0.032,0.099,0.17,0.301,0.484,0.571,0.921,1.214,0,0
Italy,Billion Kwh,48.797,46.182,44.516,44.16,45.223,43.616,44.126,42.75,44.005,36.847,34.641,45.225,45.432,44.901,47.93,41.251,46.031,46.04697,46.501,51.557,50.957,54.634,48.724,44.619,54.864,49.557,51.901,49.083,59.446,70.536,78.06,84.164,93.251,112.918,121.543,109.962,0,0
Jamaica,Billion Kwh,0.119,0.124,0.134,0.148,0.081,0.076,0.115,0.119,0.099,0.126,0.207,0.166,0.2,0.215,0.241,0.218,0.228,0.239,0.215,0.217,0.217,0.144,0.124,0.147,0.201,0.236,0.256,0.247,0.258,0.323,0.33,0.379,0.433,0.392,0.404,0.422,0,0
Japan,Billion Kwh,88.884,87.877,90.498,94.339,84.984,94.511,93.315,88.333,106.226,108.133,100.674,109.139,94.622,107.366,80.264,97.105,96.72481,107.43,110.189,104.703,105.397,102.78,102.552,116.767,117.178,104.274,116.049,103.949,102.497,103.151,122.887,126.571,121.74,133.005,152.032,169.66,0,0
Jordan,Billion Kwh,0,0,0,0,0,0,0.003,0.019,0.027,0.017,0.019,0.008,0.016,0.023,0.015,0.019,0.023,0.02,0.016,0.017,0.042,0.046,0.06,0.05,0.061,0.064,0.059,0.072,0.073,0.068,0.072,0.065,0.069,0.063,0.065,0.183,0,0
Kazakhstan,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,6.797,7.553,9.087,8.248,7.258,6.434,6.08,6.071,7.456,8,8.801,8.539,7.976,7.777,7.691,8.09,7.386,6.811,7.943,7.805,7.564,7.66,8.194,9.358,0,0
Kenya,Billion Kwh,1.149,1.467,1.482,1.763,1.875,2.163,2.218,2.394,2.799,2.943,3.03863,3.246,3.254,3.45507,3.42,3.643,3.835,3.714,3.753,2.916,2.057,3.175,3.79,4.33,4.191,4.316,4.574,4.8,4.137,3.734,5.084,5.164,6.08,6.133,7.535,8.435,0,0
Kiribati,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, North",Billion Kwh,10.494,10.652,10.811,10.969,11.128,12.177,12.87,13.464,14.85,14.85,15.444,14.85,14.058,13.167,13.662,14.058,12.375,10.593,10.098,10.197,10.098,10.494,10.514,11.603,12.375,13.001,12.494,13.147,13.927,12.375,13.266,13.068,13.365,13.761,12.87,9.9,0,0
"Korea, South",Billion Kwh,1.539,2.257,1.56,2.272,1.978,3.153,3.078,3.925,1.967,2.934,4.638,3.452,3.068,4.188,2.32554,2.9844,2.80576,2.86787,4.301,4.225,4.085,4.238,3.454,5.133,4.712,4.075,4.05,4.614,4.344,4.659,6.328,7.957,7.544,9.217,9.059,10.878,0,0
Kosovo,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0.119,0.154,0.104,0.095,0.142,0.149,0.139,0,0
Kuwait,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,9.195,8.994,11.607,11.007,12.132,10.825,9.844,12.021,13.546,12.306,10.679,13.381,13.953,12.66,12.347,12.609,10.023,10.115,10.997,13.998,14.037,12.996,13.165,10.989,0,0
Laos,Billion Kwh,0.92,1.089,1.138,1.019,0.94,0.857,0.819,0.531,0.487,0.661,0.817,0.876,0.858,0.867,0.853,1.042,1.194,1.164,1.802,2.324,3.277,3.297,3.212,2.832,2.998,3.135,3.241,3.336,3.642,3.347,5.66,8.7,8.55,10.39,10.23,11.06,0,0
Latvia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,2.498,2.846,3.272,2.908,1.842,2.924,2.992,2.731,2.795,2.811,2.459,2.315,3.165,3.381,2.759,2.801,3.181,3.521,3.603,3.046,4.078,3.459,2.761,2.757,0,0
Lebanon,Billion Kwh,0.841,0.841,0.643,0.554,0.579,0.579,0.554,0.604,0.594,0.495,0.297,0.495,0.545,0.713,0.809,0.71,0.79,0.892,0.777,0.329,0.445,0.33,0.671,1.349,1.109,1.036,0.688,0.579,0.369,0.616,0.831,0.797,0.998,1.26,0.197,0.48,0,0
Lesotho,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195,0.288,0.285,0.314,0.325,0.297,0.459,0.525,0.554,0.584,0.648,0.694,0.49,0.486,0.515,0.52,0.6,0,0
Liberia,Billion Kwh,0.331,0.314,0.328,0.32,0.223,0.259,0.315,0.316,0.321,0.311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0.308,0.389,0.447,0.369,0.323,0.291,0.413,0.409,0.336,0.324,0.354,0.33,0.424,0.455193,0.431,0.577,0.598,0.68,0.906,1.112,1.179,1.544,1.548,1.733,0,0
Luxembourg,Billion Kwh,0.086,0.095,0.084,0.083,0.088,0.071,0.084,0.101,0.097,0.072,0.104,0.121,0.101,0.106,0.158,0.14,0.101,0.131,0.17,0.155,0.202,0.20095,0.18395,0.168,0.228,0.239,0.28,0.304,0.282,0.266,0.309,0.311,0.364,0.424,0.45,0.493,0,0
Macau,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0.817,0.517,0.696,0.793,0.842,0.891,1.072,1.375,1.158,0.62,0.749,1.36,1.467,1.477,1.634,1,0.832,1.257,2.407,1.42,1.034,1.577,1.279,1.986,0,0
Madagascar,Billion Kwh,0.146,0.152,0.226,0.245,0.252,0.255,0.266,0.286,0.3,0.314,0.338,0.332,0.342,0.344,0.347,0.369,0.421,0.45,0.5,0.515,0.54,0.528,0.535,0.604,0.634,0.641,0.631,0.712,0.692,0.734,0.705,0.691,0.756,0.811,0.881,0.901,0,0
Malawi,Billion Kwh,0.388,0.379,0.405,0.443,0.464,0.47,0.506,0.558,0.563,0.566,0.697,0.743,0.768,0.771,0.811,0.832,0.846,0.866,0.995,0.962,1.023,1.045,1.093,1.139,1.259,1.307,1.339,1.367,1.521,1.488,1.735,1.8,1.85,1.917,1.92,2.1,0,0
Malaysia,Billion Kwh,1.398,1.578,1.29,1.684,3.397,3.776,4.032,4.861,5.607,5.183,3.948,4.363,4.316,4.823,6.458,6.156,5.132,3.831,4.803,7.445,7.34,6.371,5.248,5.693,5.769,5.139,6.378,6.433,7.396,8.067,7.427,8.623,9.839,11.769,14.185,14.806,0,0
Maldives,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-05,3.00E-05,3.00E-05,3.00E-05,3.00E-05,0.0001,0.0002,0,0,0,0,0,0
Mali,Billion Kwh,0.083,0.082,0.105,0.122,0.133,0.133,0.158,0.16,0.166,0.168,0.181,0.182,0.208,0.218,0.22,0.223,0.21,0.227,0.23,0.23,0.233,0.234,0.236,0.234,0.248,0.447,0.479,0.471,0.572,1.089,1.092,1.195,1.263,1.167,0.963,1.175,0,0
Malta,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0.01,0.029,0.036,0.077,0.097,0,0
Martinique,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0.002,0.002,0.002,0,0
Mauritania,Billion Kwh,0.025,0.03,0.038,0.039,0.036,0.031,0.018,0.025,0.025,0.025,0.025,0.025,0.026,0.026,0.028,0.028,0.028,0.03,0.028,0.03,0.032,0.034,0.034,0.041,0.044,0.049,0.051,0.054,0.06,0.11,0.116,0.13,0.136,0.201,0.211,0.302,0,0
Mauritius,Billion Kwh,0.082,0.059,0.093,0.035,0.065,0.114,0.109,0.139,0.099,0.147,0.084,0.074,0.112,0.103,0.075,0.134,0.102,0.092,0.104,0.31,0.505,0.52,0.515,0.547,0.5714,0.5434,0.49627,0.52342,0.5934,0.607,0.653,0.551,0.578,0.594,0.595,0.68,0,0
Mexico,Billion Kwh,17.634,25.262,23.986,21.92,24.758,27.568,23.217,22.543,25.674,29.098,28.369,28.566,33.825,34.194,27.787,35.732,38.58,33.16269,31.815,39.712,40.401,36.319,32.605,28.444,34.075,37.783,39.176,37.041,46.828,34.425,45.128,44.526,42.004,39.08,52.253,47.095,0,0
Moldova,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0.255,0.371,0.275,0.321,0.362,0.378,0.387,0.363,0.392,0.359,0.348,0.358,0.35,0.359,0.365,0.354,0.385,0.354,0.403,0.348,0.266,0.31,0.329,0.324,0,0
Mongolia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000112483,0.000412483,0.000412483,0.000412483,0.000412483,0.0024,0.0024,0.0024,0.0044,0.001,0.09,0.17,0.17,0,0
Montenegro,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.733,1.271,1.524,2.05,2.723,1.192,1.462,2.479,1.734,1.476,0,0
Montserrat,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,Billion Kwh,1.487,1.031,0.576,0.476,0.362,0.465,0.625,0.825,0.926,1.145,1.184,1.234,0.954,0.439,0.831,0.605,1.937,2.062,1.759,0.817,0.775,1.068,1.0361,1.6441,1.7911,1.1751,1.1711,1.1851,1.2181,2.9331,4.0921,2.6761,2.343,4.035,3.541,4.392,0,0
Mozambique,Billion Kwh,13.409,3.315,2.959,5.01,0.552,0.149,0.038,0.024,0.049,0.05,0.281,0.32,0.322,0.341,0.362,0.375,0.445,0.967,1.487,7.606,9.555,11.723,12.547,10.761,11.551,13.131,14.57,15.902,14.963,16.781,16.481,16.642,14.994,14.401,16.013,17.035,0,0
Namibia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0.845,0.604,0.982,1.157,1.366,1.356,1.446,1.497,1.586,1.641,1.59,1.56,1.476,1.395,1.235,1.39,1.591,1.259,1.47,1.487,0,0
Nauru,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,Billion Kwh,0.176,0.208,0.206,0.314,0.335,0.332,0.432,0.543,0.557,0.536,0.877,0.901,0.83,0.865,0.924,1.147,1.169,1.051,1.12,1.397,1.616,1.831,2.098,2.24,2.378,2.492,2.708,2.764,2.786,3.083,3.19,3.475,3.518,3.497,3.783,3.493,0,0
Netherlands,Billion Kwh,1,1,0.3,0.2,0,0.403,0.503,0.701,0.802,0.937,1.233,1.347,1.416,1.601,1.803,2.004,2.674,3.03108,3.434,3.705,4.181,4.507,5.206,5.326,6.629,8.871,9.468,9.092,10.995,12.347,12.761,14.055,14.27,13.881,13.334,15.329,0,0
Netherlands Antilles,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.007,0.007,0.007,0.007,0.007,0.007,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.06,0.06,0.06,0.2,0.2,0.2,0.2,0,0
New Caledonia,Billion Kwh,0.276,0.268,0.408,0.278,0.397,0.479,0.398,0.254,0.527,0.516,0.456,0.34,0.342,0.342,0.376,0.42,0.39,0.36,0.393,0.467,0.445,0.37,0.325,0.325,0.333028391,0.356,0.315,0.426,0.483,0.432,0.319,0.427,0.45,0.506,0.342,0.404,0,0
New Zealand,Billion Kwh,20.983,20.883,19.52,21.055,21.774,21.01,23.363,23.567,24.749,24.144,25.738,25.702,23.211,26.043,28.338,29.693,28.3673,26.346,27.298,26.594,27.818,24.933,28.025,26.675,30.274,27.368,27.879,28.452,27.937,30.917,32.268,33.211,31.212,31.518,33.781,34.689,0,0
Nicaragua,Billion Kwh,0.506,0.491,0.421,0.349,0.533,0.561,0.465,0.598,0.591,0.938,0.785,0.792,0.722,0.884,0.739,0.713,0.718,0.626,0.45,0.524,0.375,0.435,0.606,0.695,0.703,0.9,0.806,0.786,1.18947,1.064,1.346,1.295,1.722,2.175,2.393,2.291,0,0
