,,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Kiribati,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, North",Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, South",Billion Kwh,0,0,0,0,0,0,0,0.001,0.001,0,0,0.001,0.002,0.006,0.017,0.013,0.015,0.025,0.047,0.13,0.239,0.376,0.436,0.685,0.817,0.862,0.913,1.148,1.145,1.201,0,0
Kosovo,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laos,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0.002,0.002,0.004,0.003,0.011,0.048,0.049,0.047,0.046,0.053,0.059,0.05,0.049,0.07,0.113,0.119,0.139,0.146,0,0
Lebanon,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.004,0.006,0.006,0,0
Lesotho,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0.014,0.106,0.131,0.158,0.224,0.48,0.54,0.6,0.64,0.81,0,0
Luxembourg,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0.003,0.011,0.018,0.027,0.024,0.024,0.026,0.039,0.052,0.058,0.064,0.061,0.063,0.055,0.064,0.077,0.083,0.08,0.102,0,0
Macau,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.12,0,0
Madagascar,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0
Malawi,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0.002,0.002,0.002,0,0
Mauritania,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.013,0.013,0.104,0,0
Mauritius,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,0.0004,0.0004,0.0004,0.0004,0.001,0.003,0.003,0.004,0.004,0.003,0.003,0,0
Mexico,Billion Kwh,0,0,0,0,0.001,0.001,0.001,0.001,0.005,0.007,0.006,0.012,0.015,0.017,0.019,0.018,0.021,0.019,0.02,0.019,0.059,0.262,0.269,0.596,1.237,1.634,3.667,4.168,6.351,8.453,0,0
Moldova,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.002,0,0
Mongolia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25E-05,1.25E-05,1.25E-05,1.25E-05,1.25E-05,0.002,0.002,0.002,0.004,0.001,0.09,0.17,0.17,0,0
Montenegro,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064,0.206,0.194,0.203,0.199,0.206,0.183,0.279,0.298,0.391,0.659,0.69,0.728,1.481,1.92,2.52,0,0
Mozambique,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,Billion Kwh,0,0,0,0,0.056,0.088,0.147,0.174,0.238,0.317,0.437,0.475,0.64,0.645,0.829,0.825,0.946,1.318,1.867,2.067,2.733,3.438,4.26,4.581,3.994,5.101,4.981,5.627,5.797,7.55,0,0
Netherlands Antilles,Billion Kwh,0,0,0,0,0,0,0,0.001,0.007,0.007,0.007,0.007,0.007,0.007,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.06,0.06,0.06,0.2,0.2,0.2,0.2,0,0
New Caledonia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0.002,0.005,0.006,0.006,0.007,0.007,0.008,0.005,0.01,0.02,0.03,0.04,0.03,0.03,0.057,0.056,0.055,0.056,0.057,0.064,0,0
New Zealand,Billion Kwh,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.008,0.014,0.022,0.039,0.12,0.139,0.155,0.146,0.361,0.614,0.622,0.929,1.057,1.476,1.621,1.937,2.06,2.004,2.192,2.333,0,0
Nicaragua,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.16,0.21,0.33,0.562,0.85,0.865,0,0
Niger,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.002,0.002,0.003,0.003,0,0
Niue,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,Billion Kwh,0,0,0,0,0,0,0.00285,0.007,0.009,0.01,0.009,0.011,0.011,0.025,0.031,0.027,0.075,0.218,0.252,0.499,0.636,0.892,0.913,0.977,0.879,1.283,1.548,1.881,2.216,2.515,0,0
Oman,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.018,0,0.4,0.8,0.84,0,0
Palestinian Territories,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.12,0.42,0,0
Papua New Guinea,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.26,0.595,0,0
Philippines,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.053,0.058,0.061,0.064,0.062,0.09,0.075,0.65,0.15,0.75,0,0
Poland,Billion Kwh,0,0,0,0,0,0,0,0,0,0.001,0,0.002,0.004,0.004,0.005,0.014,0.061,0.124,0.142,0.135,0.256,0.522,0.837,1.077,1.664,3.187,4.709,5.939,7.579,10.728,0,0
Portugal,Billion Kwh,0,0,0,0,0.001,0.001,0.004,0.011,0.017,0.016,0.021,0.038,0.089,0.123,0.168,0.256,0.362,0.496,0.816,1.773,2.925,4.037,5.757,7.577,9.1,9.102,10.156,11.897,11.981,11.482,0,0
Puerto Rico,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.015,0.173,0.218,0.239,0,0
Qatar,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.01,0.01,0.01,0.01,0.02,0.02,0.012,0.018,0.015,0.016,0.016,0,0
Romania,Billion Kwh,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.005,0.009,0.306,1.39,2.64,4.52,6.2,7.06,0,0
Russia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.003,0.006,0.009,0.007,0.007,0.005,0.007,0.005,0.004,0.004,0.005,0.005,0.005,0.1,0.15,0,0
Rwanda,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.005,0.008,0.008,0.008,0.008,0,0
Saint Lucia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.002,0.002,0.002,0.002,0,0
Saint Vincent/Grenadines,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0,0
Sao Tome and Principe,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0,0
Seychelles,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.007,0.007,0,0
Sierra Leone,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.006,0.006,0.006,0.008,0.007,0.006,0.006,0.005,0.006,0.006,0.006,0.006,0,0
Slovenia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.004,0.006,0,0
Solomon Islands,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.004,0.004,0.005,0,0
South Africa,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.03,0.04,0.04,0.04,0.86,2.27,0,0
Spain,Billion Kwh,0,0,0,0,0.014,0.015,0.103,0.116,0.175,0.27,0.364,0.742,1.352,2.744,4.727,6.759,9.342,12.075,15.7,21.176,23.297,27.568,32.946,38.117,43.192,41.871,48.265,54.641,51.008,48.122,0,0
Sri Lanka,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.004,0.003,0.003,0.002,0.002,0.002,0.003,0.003,0.053,0.092,0.147,0.235,0.27,0.34,0,0
Sudan,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,Billion Kwh,0,0,0,0,0.006,0.013,0.031,0.048,0.072,0.099,0.144,0.203,0.317,0.358,0.457,0.482,0.608,0.679,0.85,0.936,0.987,1.43,1.996,2.485,3.502,6.078,7.165,9.842,11.234,16.268,0,0
Switzerland,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0.003,0.003,0.003,0.004,0.005,0.005,0.006,0.008,0.015,0.016,0.019,0.023,0.037,0.07,0.088,0.09,0.101,0.11,0,0
Syria,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.012,0.016,0.024,0.025,0.091,0.277,0.444,0.589,0.787,1.026,1.493,1.414,1.64,1.501,1.526,0,0
Tajikistan,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0008,0.0009,0,0,0.001,0.001,0.005,0.141,0.305,0.305,0.33,0,0
Timor0Leste (East Timor),Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0.024,0.03,0.033,0.044,0.042,0.038,0.043,0.039,0.097,0.139,0.11,0.196,0.36,0.51,0.45,0,0
Turkey,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.021,0.033,0.062,0.048,0.061,0.058,0.059,0.127,0.355,0.847,1.495,2.908,4.716,5.837,7.535,8.485,11.591,0,0
Turkmenistan,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Pacific Islands,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Territories,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0.006,0.016,0.022,0.031,0.033,0.038,0.035,0.045,0.045,0.043,0.051,0.09,0.288,0.64,1.13,1.08,0,0
United Arab Emirates,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.002,0,0
United Kingdom,Billion Kwh,0,0,0,0,0.009,0.011,0.04,0.218,0.342,0.391,0.488,0.667,0.877,0.85,0.947,0.965,1.256,1.285,1.935,2.904,4.225,5.274,7.097,9.304,10.255,15.652,19.835,28.396,31.966,40.31,0,0
United States,Billion Kwh,0.004189,0.003541,0.000871,2.112043,2.7886,2.950951,2.887523,3.005827,3.447109,3.164253,3.234069,3.288035,3.025696,4.487998,5.593261,6.737331,10.35428,11.187466,14.143741,17.810549,26.589137,34.449927,55.3631,73.886132,94.652246,120.176599,140.821703,167.839745,181.655282,190.718548,226.992562,254.254339
Uruguay,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.042,0.068,0.11,0.111,0.14,0.73,2.065,0,0
Uzbekistan,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.004,0.005,0.005,0.005,0.005,0,0
Venezuela,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.09,0.09,0.09,0,0
Vietnam,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.01,0.05,0.087,0.087,0.087,0.087,0.12,0,0
"Virgin Islands,  U.S.",Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Virgin Islands, British",Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0
Wake Island,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
